malware_name,nodes_num,edgs_num,,,
d266acd00a9999c8c94dcdb2d6b3c26c.exe.gexf,33,38,,,
e6a4a8b69ee6b5b8a033ca0d688b1d82.gexf,33,30,,,
27b0f639e5ac77e05e70d1f5cbf45c87.gexf,34,32,,,
4c60848fe9467006391911c27df2a1a1.exe.gexf,34,30,,,
b170e6a7da5dd0d485223fc68d8a2203.exe.gexf,34,30,,,
d9995464321f2c4b2ceae37bbd9be122.gexf,34,30,,,
dc45b388ab6f76c2a25689e489dd9ee2.exe.gexf,34,32,,,
1e19aece57fec5784e1ac8f3a1db6b34.exe.gexf,35,28,,,
81e0f1f8ed5ebd10794d0d96f27c7675.exe.gexf,35,31,,,
883fe0f263e3d87d34f0e33f79a81af8.gexf,35,77,,,
ee0b8247a61306837b46c5ddaf3e7840.gexf,35,31,,,
6551f55a71d9d4aed6a1292c71375292.exe.gexf,36,38,,,
ae1cb90c47e432da66b70a365e4b96d4.gexf,36,30,,,
cad1599103e7506094809d0c4406d764.gexf,36,34,,,
e0f1d69673c136347709a066eb7d84b3.gexf,36,33,,,
45d0757b38c7ee3918ba20d084e49a80.exe.gexf,37,38,,,
8de19d9e248dc7d58c9f01b4ec753867.exe.gexf,37,36,,,
e03d54327bcab361e2848bb6f2c647b5.exe.gexf,37,30,,,
f69bcbe2ee96c3c1e443819ae70ace3b.exe.gexf,37,35,,,
0e83b561eaa65d269427a370ee5ba6ee.exe.gexf,38,43,,,
37241d7c334e5616c52a7a11fbdab56a.exe.gexf,38,34,,,
3e86e7c1518bac8d181bcd22f026b559.exe.gexf,38,39,,,
4392a72433bbd789956f66b1b6e92ab4.exe.gexf,38,110,,,
671a01eeb786171f119d2ce8bf07a44a.exe.gexf,38,39,,,
8a1ea6ec79bf165bd3516333898bbcc2.exe.gexf,38,39,,,
98dfbdb935247aa249ec069b8a739b6c.exe.gexf,38,33,,,
b91c0815b0f02536e282ad432bc84b53.gexf,38,32,,,
174c0bb5b14eb98bff99f554d5e37921.gexf,39,37,,,
9459acbfd2cef5f734cc30ca6d012744.gexf,39,42,,,
9af859001ec02fa2c12647070372d2f1.gexf,39,34,,,
665aca60a9a1f2f886921a469d8164f0.exe.gexf,40,44,,,
78cea17e0c0d3f9c933fceb568921580.exe.gexf,40,41,,,
d27467f84e7ab4e8dd30a6a0d6a7d7db.exe.gexf,40,44,,,
f67ac67875e287c3a34eedbb05fa57a7.gexf,40,36,,,
7fa5de52fbcc5bf2b369fedde41219ad.gexf,42,41,,,
8cbb247fcf64374cc81f6ac50447c9c4.exe.gexf,42,38,,,
b1dcfc1c603713e521fe135b2fb2cfa8.gexf,42,38,,,
d7953458c098200056dfa1b6c57bf7c0.exe.gexf,42,57,,,
827c77c8bd84777c41310b8fe3c7d95a.gexf,43,37,,,
9e1484ba6569c5f0cfac505232791462.exe.gexf,43,37,,,
e01161aa2bfd722a0efbf515b5a5ea75.exe.gexf,43,41,,,
732bcc312a9c4f2bcb32dbe1e94e1051.gexf,45,60,,,
48fca5346a7837d2e1d1f70b92d4e5fd.exe.gexf,46,42,,,
8828ae366b8a934c2b7d4374a27f6e75.exe.gexf,46,67,,,
a2807c636556bd4a8279c07b79bdcf0c.exe.gexf,46,41,,,
3d92eb7013ca7347aaa61a2877e9491e.gexf,47,120,,,
57eb182d655f07333081b95fa7db940b.exe.gexf,47,43,,,
63ee4b8d44621e1e3ffb07e181d03a8d.exe.gexf,47,47,,,
a3dc051860bd7dd0567434536392cb23.exe.gexf,47,43,,,
e063348e3371804798487dbb9be93776.exe.gexf,48,42,,,
ea0253515fa5314836099da4dc784208.exe.gexf,48,51,,,
3fb0cdf8d073cb1c75522036a7c3b7c4.exe.gexf,49,45,,,
46aa42c90aa296968f2136a8a5716ccd.exe.gexf,49,50,,,
6e9fee67849e194414d925873e2e2d04.exe.gexf,49,44,,,
812adc2397acf453bfb6b927013988ad.exe.gexf,49,49,,,
edec4c327f7ec284714bde38b2891fa6.exe.gexf,49,44,,,
faf05bbd94724f1fefcb3fb671c668a4.exe.gexf,49,44,,,
20d3e26304e9366c2e9ebc18df8d6e53.exe.gexf,50,62,,,
f8770b81ea941d20cb69c44b5625de7c.gexf,50,53,,,
73009c1786ca1170969aae08b56b5374.exe.gexf,51,45,,,
7a3c5aae6368ad3fce7d1807edca64fa.exe.gexf,51,45,,,
e24133dd836d99182a6227dcf6613d08.exe.gexf,51,63,,,
fb1f35ac081032e63823672d2f6ed3ba.exe.gexf,51,47,,,
092e36757d752b2de3a48bc188d42f63.exe.gexf,52,50,,,
3d655896301f0160678eb8227239330e.gexf,52,48,,,
976baf2793adf13de9f03a52d4a1b14f.exe.gexf,52,46,,,
ca3ad714dd598779609d1454c58ff463.exe.gexf,52,45,,,
dfac85571d69882cbe7e106fb658a941.exe.gexf,52,58,,,
16f9cf999f22904f51bb73ae323f2108.exe.gexf,53,353,,,
2422c392ba822f520d168e330cc30ca8.exe.gexf,53,56,,,
2fd8e30f6c8042bf385e1c1465bf712e.exe.gexf,53,62,,,
33794cee696d8f6d1e3cd0bbd99f3330.exe.gexf,53,46,,,
45f7b80382c008a4a3c27d2652d7b9bf.exe.gexf,53,56,,,
bfca63fee5b247294a648b9dc04a540a.exe.gexf,53,56,,,
de33befb3bd4cd44cf163e719f5bd90c.exe.gexf,53,46,,,
edbf56f36a23f01eb4aef949b336a8e6.exe.gexf,53,56,,,
7ce868e28b7dc4964b2dc4ebc863a1b7.exe.gexf,54,46,,,
ece711edd9677b10ed55f85370cb504e.gexf,54,49,,,
0ed9499a38450d378a591d62c7094ee9.exe.gexf,55,67,,,
14465ee40efd221ff7e8b811ce905111.exe.gexf,55,67,,,
1c01e496307e5679b6a8a5ec1f53a7c5.exe.gexf,55,67,,,
1d5e4f019c8e31b5a3b26914f2677789.exe.gexf,55,67,,,
237153a259c337a5793083a9dde51da8.exe.gexf,55,67,,,
267e5e22a40b09a9294743c111e7579d.exe.gexf,55,67,,,
367938448e0e07b183761a1c915ed88b.exe.gexf,55,67,,,
44ad3fc64610c628e2b82618728b3cfe.exe.gexf,55,67,,,
4d6add8b85f8e33937b8483bf5d040c1.exe.gexf,55,67,,,
52e6e1f5da3d1cb9189f83bb78149495.exe.gexf,55,54,,,
5b087c14fc2288ad5f87d7d404cd6a5b.exe.gexf,55,67,,,
7dc6905a6e323a6299a04b25aabc1ccf.exe.gexf,55,67,,,
7de017df8d0ecfd5e4d901d53bd50f81.exe.gexf,55,67,,,
8020a3dc96001d64e6992c0381f5632e.exe.gexf,55,67,,,
8d20f10e2d323ab3445d8a162885c192.exe.gexf,55,56,,,
a1ba3aeb202df532d519ebc7d8dc8766.exe.gexf,55,67,,,
d08d8767741b70d604aefd97d8fa9b87.exe.gexf,55,67,,,
fa3b7dece806d6f0a658ffcce1b2d034.exe.gexf,55,67,,,
fc17b23f708558bd17c625677e4783c6.exe.gexf,55,67,,,
063015c2e3604e13de9fc3449f68cd6a.exe.gexf,56,69,,,
0f62aca6deb76b11f600b1b6b9f90ee3.exe.gexf,56,69,,,
1a8a829ba05db1a3963ac8ef6e1a9a9d.exe.gexf,56,69,,,
1be2ca2a358e1ba20e1ee09ee663b7ee.exe.gexf,56,69,,,
1d56c76ef6c33e9c2074fcab5f6e52d8.exe.gexf,56,47,,,
211d9c64f7c671cb07b3d402626d824b.exe.gexf,56,69,,,
21b46001ea61cdc46a43435f873e3bb8.exe.gexf,56,69,,,
25832e142fcaf637f5f9f191e31ba735.exe.gexf,56,69,,,
26640d2d4fa912fc9a354ef6cfe500ff.exe.gexf,56,69,,,
269becbc0cd8323ce0758626feaa28d2.exe.gexf,56,61,,,
29a064e63b767bdc707dfac7b983802c.exe.gexf,56,49,,,
29e52bfb44c74b2e3730f79d04082692.gexf,56,69,,,
2eef4a1fa124e5ea63dc5b969b156521.exe.gexf,56,69,,,
2f9caef557bf32dc1f679f7b3b876e56.exe.gexf,56,69,,,
3d7e7684e39120e8c89180ea5240df2d.exe.gexf,56,69,,,
613720fb240ddf8fb94f92de0c91e412.exe.gexf,56,69,,,
626d4d20072a9f4bb790a42c8db94f17.exe.gexf,56,69,,,
6711765f323289f5008a6a2a04b6f264.exe.gexf,56,69,,,
6f06938232d6bc76ffa3f6d1d34ba2cc.exe.gexf,56,69,,,
7009947cfc65ea513ed9ebd37ec63c62.exe.gexf,56,69,,,
71bdbf69e9cd49cfcefc09c63e3b882a.exe.gexf,56,69,,,
7692f6d143e0b66f6c0747bb5df0b620.exe.gexf,56,69,,,
822c25d407b0bbd8c9589f79a6a3739f.exe.gexf,56,68,,,
93d4b5169261761db6f8e5db89051db2.exe.gexf,56,69,,,
